,NAME,Type,GEOCODE_INPUT,LAT,LNG
0,ESC MUL PROF ANTÔNIO SEVERIANO,Elem,"AV OURO PRETO, 2754, NATAL-RN",-5.870579900000001,-35.2148684
1,ESC MUL PROF ARNALDO MONTEIRO BEZERRA,Elem,"ARACITABA, 2993, NATAL-RN",-5.868883599999999,-35.1975655
2,ESC MUL PROF ASCENDINO DE ALMEIDA,Elem,"RUA JOAQUIM CARDOSO, , NATAL-RN",-5.8511146,-35.2406756
3,ESC MUL PROF CARLOS BELLO MORENO,Elem,"RUA ARAPIRACA, , NATAL-RN",-5.863614399999999,-35.2071375
4,ESC MUL PROF OTTO DE BRITO GUERRA,Elem,"RUA SERRA DA JUREMA, , NATAL-RN",-5.855494999999999,-35.2459094
5,ESC MUL PROFA JOSEFA BOTELHO,Elem,"RUA MANOEL CONGO, 318, NATAL-RN",-5.8911716,-35.1694197
6,ESC MUL SÃO JOSÉ,Elem,"RUA VEREADOR MANOEL CORINGA DE LEMOS,, 434, NATAL-RN",-5.885250600000001,-35.16906549999999
7,ESC MUL PROF ULISSES DE GOIS,Elem,"PADRE RAIMUNDO BRASIL, , NATAL-RN",-5.827906899999999,-35.1955392
8,ESC MUL 4º CENTENÁRIO,Elem,"AV.FLORIANO PEIXOTO, 295, NATAL-RN",-5.781941799999999,-35.2009315
9,ESC MUL HENRIQUE CASTRICIANO,Elem,"RUA DECIO FONSECA, 633, NATAL-RN",-5.7699561,-35.2007078
10,ESC MUL JOÃO XXIII,Elem,"RUA DOS PAJEUS, 1875, NATAL-RN",-5.806911299999999,-35.2275749
11,ESC MUL JUVENAL LAMARTINE,Elem,"RUA PRESIDENTE SÁRMENTO, 1156, NATAL-RN",-5.8086022,-35.2149542
12,ESC MUL MONSENHOR JOAQUIM HONÓRIO,Elem,"RUA PTE MASCARENHAS, 768, NATAL-RN",-5.8043008,-35.2233681
13,ESC MUL PROF ANTÔNIO CAMPOS E SILVA,Elem,"RUA JOÃO XXIII, 1821, NATAL-RN",-5.8003143,-35.1833135
14,ESC MUL PROFA LAURA MAIA,Elem,"RUA DO MOTOR, 707, NATAL-RN",-5.7823026,-35.1934469
15,ESC MUL PROFA MARECI GOMES DOS SANTOS,Elem,"TRAVESSÁ OCIDENTAL DE BAIXO, 333, NATAL-RN",-5.787914199999999,-35.2145288
16,ESC MUL SANTOS REIS,Elem,"RUA DECIO FONSECA, S/N, NATAL-RN",-5.7705692,-35.1996735
17,ESC MUL CELESTINO PIMENTEL,Elem,"PERNAMBUCO, 145, NATAL-RN",-5.825702,-35.2360386
18,ESC MUL CHICO SÁNTEIRO,Elem,"RUA DA CRUZ, , NATAL-RN",-5.7983391,-35.2415525
19,ESC MUL DJALMA MARANHÃO,Elem,"RUA SANTA MARIA MADALENA, 2, NATAL-RN",-5.7740037,-35.2843184
20,ESC MUL ESTUDANTE EMMANUEL BEZERRA,Elem,"RUA MIRA MANGUE, 1187, NATAL-RN",-5.8487059,-35.2550139
21,ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU,Elem,"RUA DOS PEGAS, , NATAL-RN",-5.8004965,-35.2293638
22,ESC MUL NOSSA SRA DAS DORES,Elem,"RUA RIO POTENGI, 3556, NATAL-RN",-5.7911326,-35.243556
23,ESC MUL PREF MÁRIO LIRA,Elem,"AVENIDA ANTÔNIO BASILIO, 1,24, NATAL-RN",-5.804564099999999,-35.2351855
24,ESC MUL PROF BERILO WANDERLEY,Elem,"RUA DOS PAIANASÉS, S/N, NATAL-RN",-5.8018648,-35.2258669
25,ESC MUL PROF BERNARDO DO NASCIMENTO,Elem,"RUA NOSSA SENHORA DO LIVRAMENTO, , NATAL-RN",-5.8252164,-35.2534751
26,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI,Elem,"RUA DA LAGOA SECA, , NATAL-RN",-5.8415656,-35.2749027
27,ESC MUL PROF LUÍS MARANHÃO FILHO,Elem,"SOLANGE NUNES DO NASCIMENTO, 239, NATAL-RN",-5.8320497,-35.2401217
28,ESC MUL PROF VERÍSSIMO DE MELO,Elem,"RUA RAINHA DO MAR, , NATAL-RN",-5.8445493,-35.2522098
29,ESC MUL PROF ZUZA,Elem,"MIGUEL CASTRO,NATAL-RN",-5.817806399999999,-35.2238237
30,ESC MUL PROFA ALMERINDA BEZERRA FURTADO,Elem,"RUA DA RIBEIRA, , NATAL-RN",-5.8425341,-35.2751895
31,ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA,Elem,"RUA PREF GENTIL FERREIRA, , NATAL-RN",-5.802808799999999,-35.2361278
32,ESC MUL PROFA EMÍLIA RAMOS,Elem,"RUA DANTAS BARRETO, 419, NATAL-RN",-5.8334727,-35.2404864
33,ESC MUL PROFA FRANCISCA FERREIRA DA SILVA,Elem,"AV INDUSTRIAL JOÃO FRANCISCO DA MOTA, 3804, NATAL-RN",-5.8092802,-35.2439471
34,ESC MUL PROFA IVONETE MACIEL,Elem,"AVENIDA INTERVENTOR MÁRIO CAMARA, 3133, NATAL-RN",-5.834264699999999,-35.2355654
35,ESC MUL PROFA MARIA CRISTINA OZÓRIO TAVARES,Elem,"RUA ANTÔNIO CAROLINO, 99, NATAL-RN",-5.8235901,-35.2565995
36,ESC MUL PROFA ZENEIDE IGINO DE MOURA,Elem,"AV SOLANGE NUNES DO NASCIMENTO, 277, NATAL-RN",-5.8328864,-35.2404497
37,ESC MUL SÃO FRANCISCO DE ASSIS,Elem,"AV MIGUEL CASTRO, 126, NATAL-RN",-5.8132255,-35.2361733
38,ESC MUL IRMA ARCÃNGELA ENSINO DE 1º GRAU,Elem,"RUA SÃO PEDRO, 188, NATAL-RN",-5.7704417,-35.2608574
39,ESC MUL JOÃO PAULO II,Elem,"RUA DO BAMBELO, , NATAL-RN",-5.728846799999999,-35.2616808
40,ESC MUL JORNALISTA ERIVAN FRANÇA,Elem,"RUA IRMÃ VITÓRIA, 264, NATAL-RN",-5.763452699999999,-35.2676664
41,ESC MUL MONSENHOR JOSÉ ALVES LANDIM,Elem,"RUA RETIROLÂNDIA, , NATAL-RN",-5.7533942,-35.2511485
42,ESC MUL NOSSA SRA DA APRESENTAÇÃO,Elem,"AV BOA SORTE, 251, NATAL-RN",-5.753277499999999,-35.2651474
43,ESC MUL PROFA TEREZA SÁTSUQUI,Elem,"AVENIDA MIRA MANGUE, 205, NATAL-RN",-5.8244197,-35.2652724
44,ESC MUL NOSSA SRA DOS NAVEGANTES,Elem,"RUA DO CRUZEIRO, 664, NATAL-RN",-5.7487968,-35.2055465
45,ESC MUL PROF AMADEU ARAÚJO,Elem,"RUA DOS CAROAS, S/N, NATAL-RN",-5.736632999999999,-35.2656702
46,ESC MUL PROF EUDO JOSÉ ALVES,Elem,"VITÓRIA RÉGIA, 115, NATAL-RN",-5.752214899999999,-35.2668703
47,ESC MUL PROF HERLY PARENTE,Elem,"RUA CAPELA, , NATAL-RN",-5.8629127,-35.208283
48,ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO,Elem,"AV BOA SORTE, 1834, NATAL-RN",-5.7420124,-35.2766746
49,ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO,Elem,"AVENIDA MANGABEIRA, 1905, NATAL-RN",-5.7573845,-35.24127989999999
50,ESC MUL PROF JOSÉ MELQUIADES DE MACEDO,Elem,"RUA DAS PEDRINHAS, 237, NATAL-RN",-5.760450899999999,-35.2762448
51,ESC MUL PROF LAÉRCIO FERNANDES MONTEIRO,Elem,"R NOEL COSTA, 1232, NATAL-RN",-5.754687199999999,-35.2797655
52,ESC MUL PROF REGINALDO FERREIRA NETO,Elem,"RUA NOVA ESPERANÇA, , NATAL-RN",-5.7621956,-35.2775188
53,ESC MUL PROF WALDSON JOSÉ BASTOS PINHEIRO,Elem,"RUA SÃO FRANCISCO, 361, NATAL-RN",-5.753914399999999,-35.2715349
54,ESC MUL PROFA ADELINA FERNANDES,Elem,"RUA ANGRA DOS REIS -CONJUNTO, , NATAL-RN",-5.7451361,-35.2523181
55,ESC MUL PROFA DALVA DE OLIVEIRA,Elem,"AVENIDA BOA SORTE, 639, NATAL-RN",-5.7503576,-35.2683348
56,ESC MUL PROFA FRANCISCA DE OLIVEIRA,Elem,"RUA LINDOLFO GOMES VIDAL, 230, NATAL-RN",-5.7438216,-35.2268249
57,ESC MUL PROFA IAPISSÁRA AGUIAR,Elem,"RUA ILHÉUS, , NATAL-RN",-5.7600295,-35.2522375
58,ESC MUL PROFA JOSEANE COUTINHO DIAS,Elem,"AVENIDA CIDADE PRAIA, 1240, NATAL-RN",-5.739798899999999,-35.2682504
59,ESC MUL PROFA LOURDES GODEIRO,Elem,"MOEMA TINOCO DA CUNHA LIMA, 4265, NATAL-RN",-5.7160494,-35.2502729
60,ESC MUL PROFA MALVINA COSME,Elem,"RUA PARANDUVA, 2903, NATAL-RN",-5.758809599999999,-35.2506097
61,ESC MUL PROFA MARIA ALEXANDRINA SAMPAIO,Elem,"RUA DO ANEQUIM, , NATAL-RN",-5.7367495,-35.2383015
62,ESC MUL PROFA MARIA DALVA GOMES BEZERRA,Elem,"RUA BARUERI, 270, NATAL-RN",-5.7289276,-35.2492743
63,"ESC MUL PROFA MARIA MADALENA XAVIER DE 
ANDRADE",Elem,"AVENIDA VOTUPORANGA, 35, NATAL-RN",-5.7351225,-35.25174
64,ESC MUL PROFA NOILDE PESSOA RAMALHO,Elem,"RUA MANOEL CAETANO, 379, NATAL-RN",-5.745539399999999,-35.2094883
65,ESC MUL PROFA PALMIRA DE SOUZA,Elem,"RUA VOLTA REDONDA, , NATAL-RN",-5.7518139,-35.2571649
66,ESC MUL PROFA TÂNIA ALMEIDA,Elem,"FRAGATAS, 37, NATAL-RN",-5.7299291,-35.2430101
67,ESC MUL PROFA TEREZINHA PAULINO DE LIMA,Elem,"RUA MATINHOS, SEM 
NUMERO, NATAL-RN",-5.835198,-35.219568
68,ESC MUL PROFA VERA LÚCIA SOARES BARROS,Elem,"AV MAR MEDITERÂNEO, 1236, NATAL-RN",-5.7402095,-35.2392997
69,ESC MUL PROFA ZULEIDE FERNANDES DE M SILVA,Elem,"AV. BARRAGEM ARMANDO RIBEIRO GONCALVES, , NATAL-RN",-5.734710000000001,-35.2299744
70,ESC MUL SANTA CATARINA,Elem,"RUA PROF MARIA ARLETE DE L NASCIMENTO, , NATAL-RN",-5.7563244,-35.2546314
71,ESC MUL VEREADOR JOSÉ SOTERO,Elem,"AVENIDA ARACAJU, 142, NATAL-RN",-5.7701853,-35.2524776
72,CMEI CLAUDETE COSTA MACIEL,KGAR,"RUA SERRA DOS CARAJAS, 3160, NATAL-RN",-5.8572563,-35.2424152
73,CMEI HAYDEE MONTEIRO BEZERRA DE MELO,KGAR,"RUA JOSE SELEDON, 70, NATAL-RN",-5.889422,-35.1711421
74,CMEI KÁTIA FAGUNDES GARCIA,KGAR,"RUA PROFESSORA ANA DJANIRA, 1960, NATAL-RN",-5.8431913,-35.2184725
75,CMEI MARIA CELONI CAMPOS,KGAR,"RUA BAIA FORMOSÁ, 1517, NATAL-RN",-5.8210033,-35.2241209
76,CMEI MOEMA TINOCO DA CUNHA LIMA,KGAR,"RUA JACUI, 217, NATAL-RN",-5.8579219,-35.2059297
77,CMEI PROFA ANTÔNIA FERNANDA JALLES,KGAR,"RUA RIO SUASSUI, 7701, NATAL-RN",-5.8544103,-35.2404611
78,CMEI PROFA CARMEM MARIA REIS,KGAR,"RUA JOÃO DE DEUS DE LIMA, , NATAL-RN",-5.887648,-35.1702008
79,CMEI PROFA LIBÂNIA MEDEIROS,KGAR,"AV. SÃO MIGUEL DOS CARIBES, 4334, NATAL-RN",-5.868752499999999,-35.2078515
80,CMEI PROFA Mª DOS MARTIRIOS LISBOA DE MENEZES,KGAR,"RUA ENGENHEIRO JOAQUIM CARDOSO, 2020, NATAL-RN",-5.850428700000001,-35.2401642
81,CMEI PROFA MARIA EUNICE DAVIM,KGAR,"RUA SOBRALIA, S/N, NATAL-RN",-5.874696,-35.2100584
82,CMEI PROFA MARIA LUIZA SANTOS DE SOUZA,KGAR,"JANDAIA, 8075, NATAL-RN",-5.8685394,-35.2350366
83,CMEI VILMA TEIXEIRA DOURADO DUTRA,KGAR,"RUA DOS AMARANTOS, 156, NATAL-RN",-5.8409859,-35.2061315
84,CMEI AMOR DE MÃE,KGAR,"RUA FELICIANO DIAS, 239, NATAL-RN",-5.7787516,-35.1954227
85,CMEI CLARA CAMARÃO,KGAR,"RUA JAGUARARI, 1122, NATAL-RN",-5.7953947,-35.2094133
86,CMEI PROFA CLAUDIA OLIVEIRA DE FARIAS,KGAR,"RUA ESPLANADA SILVA JARDIM, 169, NATAL-RN",-5.7756003,-35.2021278
87,CMEI PROFA DARILENE BRANDÃO MARTINS,KGAR,"RUA AGOSTINHO LEITÃO, 322, NATAL-RN",-5.7939792,-35.2204361
88,CMEI GALDINA BARBOSÁ SILVEIRA GUIMARÃES,KGAR,"RUA JOÃO XXIII, 1565, NATAL-RN",-5.7986433,-35.1853916
89,CMEI JOSÉ ALVES SOBRINHO,KGAR,"RUA JÚLIO GOMES MOREIRA, 876, NATAL-RN",-5.7995155,-35.2087341
90,CMEI MARIA EULALIA GOMES DA SILVA,KGAR,"RUA NOSSA SENHORA APARECIDA, 40, NATAL-RN",-5.786813,-35.2120245
91,CMEI NOSSA SENHORA DE LOURDES,KGAR,"RUA JOÃO XXIII, 1215, NATAL-RN",-5.7969817,-35.1869427
92,CMEI PADRE JOÃO PERESTRELLO,KGAR,"RUA JOÃO XXIII, 729, NATAL-RN",-5.793807,-35.1892892
93,CMEI PROFA VILMA MARIA DE FARIA,KGAR,"RUA MARCOS CAVALCANTE, 585, NATAL-RN",-5.7997095,-35.2357723
94,CMEI BOM SÁMARITANO,KGAR,"RUA PASTOR JOSINO GALVAO, 102, NATAL-RN",-5.823037200000001,-35.2584484
95,CMEI CARMEM FERNANDES PEDROZA,KGAR,"RUA JERUSÁLEM, 115, NATAL-RN",-5.8424266,-35.2076765
96,CMEI CLEA BEZERRA DE MELO,KGAR,"AV NSRA DO LIVRAMENTO, 31, NATAL-RN",-5.8289382,-35.2493206
97,CMEI DRA ZILDA ARNS,KGAR,"AV. INDUSTRIAL JOÃO FRANCISCO DA MOTTA, 45, NATAL-RN",-5.818073099999999,-35.2501665
98,CMEI FREI DAMIÃO,KGAR,"RUA PEDRINHO BEZERRA, 1185, NATAL-RN",-5.8230303,-35.2530705
99,CMEI IRMA DULCE,KGAR,"AV PERNAMBUCO, , NATAL-RN",-5.8257978,-35.2360555
100,CMEI JESIEL FIGUEIREDO,KGAR,"RUA HERMITA CANSÁCAO, , NATAL-RN",-5.8120217,-35.2327367
101,CMEI JESUS BOM PASTOR,KGAR,"SOLANGE NUNES DO NASCIMENTO, 56, NATAL-RN",-5.829801100000001,-35.2392282
102,CMEI JOSÉ ALENCAR GOMES DA SILVA,KGAR,"RUA DOS PAIANAZES, 455, NATAL-RN",-5.8018648,-35.2258669
103,CMEI MISSIONARIO ODILON DOS SANTOS,KGAR,"RUA SÃO NICOLAU, 1977, NATAL-RN",-5.828837999999999,-35.2468198
104,CMEI NOSSA SENHORA DE FÁTIMA,KGAR,"RUA IJUI, 375, NATAL-RN",-5.8226431,-35.2413173
105,CMEI NOSSA SENHORA AUXILIADORA,KGAR,"RUA ALFREDO EDELTRUDES, 30, NATAL-RN",-5.8000986,-35.2399137
106,CMEI NOSSA SENHORA DE SANTANA,KGAR,"Rua Alfredo Edeltrudes, 2300, NATAL-RN",-5.7984018,-35.2383815
107,CMEI PROF ARNALDO ARSENIO DE AZEVEDO,KGAR,"TRAVESSÁ TREZE DE MAIO, , NATAL-RN",-5.8093233,-35.227698
108,CMEI PROFA ELAINE DO NASCIMENTO LOPES,KGAR,"AVENIDA DOS CAICOS, 16, NATAL-RN",-5.807591599999999,-35.2275466
109,CMEI PROFA FRANCISCA ANASTACIA DE SOUTO,KGAR,"DOS PAIATIS, 2002, NATAL-RN",-5.8028567,-35.230474
110,CMEI PROFA MARIA DO SOCORRO LIMA,KGAR,"RUA CLAUDIONOR FIGUEIREDO, 1797, NATAL-RN",-5.8263666,-35.202186
111,CMEI PROFA MARIA ILKA SOARES DA SILVA,KGAR,"AVENIDA SOLANGE NUNES DO NASCIMENTO, 297, NATAL-RN",-5.832986,-35.2408526
112,CMEI PROFA MARIA ITACIRA BENTO,KGAR,"RUA ABREULANDIA, 238, NATAL-RN",-5.845078,-35.2474925
113,CMEI PROFA MARIA SÁLETE ALVES BILA,KGAR,"RUA DA LAGOA SECA, , NATAL-RN",-5.8415656,-35.2749027
114,CMEI PROFA MARILANDA BEZERRA DE PAIVA,KGAR,"AV SOLANGE NUNES DO NASCIMENTO, 316, NATAL-RN",-5.8330578,-35.2412558
115,CMEI PROFA MARISE PAIVA,KGAR,"AV LIMA E SILVA, 259, NATAL-RN",-5.8253115,-35.211727
116,CMEI PROFA RAQUEL MARIA FILGUEIRA,KGAR,"DANTAS BARRETO, 1002, NATAL-RN",-5.838336200000001,-35.2449699
117,CMEI SÁTURNINA ALVES DE LUCENA,KGAR,", 625, NATAL-RN",-6.2338097,-36.0163391
118,CMEI BELCHIOR JORGE DE SÁ,KGAR,,33.791638,-84.389488
119,CMEI DR VULPIANO CAVALCANTI DE ARAÚJO,KGAR,"RUA SEBASTIÃO GONCALVES, 77, NATAL-RN",-5.7660341,-35.271557
120,CMEI EVANGELINA ELITA DE SOUSA,KGAR,"RUA DAS CRENDICES, 1001, NATAL-RN",-5.7355064,-35.2570125
121,CMEI MAILDE FERREIRA PINTO GALVÃO,KGAR,"JOENVILLE, 58, NATAL-RN",-5.880067899999999,-35.2541727
122,CMEI MARIA LUCILA ALVES DE CARVALHO,KGAR,"AV. MOEMA TINOCO DA CUNHA LIMA, 4021, NATAL-RN",-5.7189467,-35.2481877
123,CMEI PADRE SABINO GENTILLE,KGAR,"RUA DA GAROUPA, 365, NATAL-RN",-5.7315429,-35.2356299
124,CMEI PAULINA ENGRACIA MARIZ DE FARIA,KGAR,"RUA LAURENTINO, 142, NATAL-RN",-5.755038,-35.262506
125,CMEI PROF ANTÔNIO GURGEL DE MELO,KGAR,"PRACA ARARUANA, 30, NATAL-RN",-5.7407682,-35.2562582
126,CMEI PROF JOSÉ CARLOS BEZERRA DE JESUS FILHO,KGAR,"RUA ALVORADA, 957, NATAL-RN",-5.7708392,-35.2634644
127,CMEI PROF LUIZ GONZAGA DINIZ FILHO,KGAR,"RUA RIO BELO, 51, NATAL-RN",-5.7516304,-35.2296864
128,CMEI PROFA ELIZABETE TEOTÔNIO DA FONSECA MELO,KGAR,"RUA PRACA JARDIM DAS FLORES, 20, NATAL-RN",-5.7488448,-35.2250393
129,CMEI PROFA FRANCISCA CÉLIA MARTINS DE SOUZA,KGAR,"RUA MARIA DO CARMO DE SOUZA, 134, NATAL-RN",-5.7544174,-35.2804863
130,CMEI PROFA MARIA ABIGAIL BARROS DE AZEVEDO,KGAR,"RUA DOS REPENTISTAS, 3037, NATAL-RN",-5.7323605,-35.26064420000001
131,CMEI PROFA MARIA CLEONICE ALVES PONTES,KGAR,"AV MARANGUAPE, 660, NATAL-RN",-5.7594198,-35.2581955
132,CMEI PROFA MARIA DA PIEDADE DE MELO E SILVA,KGAR,"RUA BARIRI, 164, NATAL-RN",-5.727445899999999,-35.2524954
133,CMEI PROFA MARIA DAS GRAÇAS MOTA,KGAR,"SÁLVADOR, 79, NATAL-RN",-5.7755016,-35.251963
134,CMEI PROFA Mª DE FÁTIMA MEDEIROS DE ARAÚJO,KGAR,"RUA DO FANDANGO, , NATAL-RN",-5.730217,-35.2628078
135,CMEI PROFA MARIA NAZARÉ DA COSTA GALVAO,KGAR,"SÃO LUIZ, 120, NATAL-RN",-5.7763902,-35.2503842
136,CMEI PROFA MARLUCE CARLOS DE MELO,KGAR,"RUA VOLTA REDONDA, 2320, NATAL-RN",-5.750878,-35.2579859
137,CMEI PROFA ROSÁLBA DIAS DE BARROS,KGAR,"RUA CARAMBEI, 95, NATAL-RN",-5.7484817,-35.2469284
138,CMEI PROFA SELVA CAPISTRANO LOPES DA SILVA,KGAR,"PORTO DE ILHÉUS, 1249, NATAL-RN",-5.747806499999999,-35.2537837
139,CMEI PROFA STELLA LOPES,KGAR,"RUA DOS MORORÓS, , NATAL-RN",-5.814196799999999,-35.2197982
140,CMEI PROFA TELMA REJANE MOURA FREIRE,KGAR,"RUA SÁLINAS, 131D, NATAL-RN",-5.7532672,-35.2307648
141,CMEI PROFA TEREZINHA DE JESUS,KGAR,"R. UBAIRA, 184, NATAL-RN",-5.732434899999999,-35.2476159
142,CMEI PROFA TEREZINHA LINHARES FAUSTINO,KGAR,"AV DR JOÃO MEDEIROS FILHO, 265, NATAL-RN",-5.773018,-35.2547329
143,CMEI SANTA CECÍLIA,KGAR,"R JOSIVALDO GOMES, 856, NATAL-RN",-5.728655100000001,-35.2393271
144,CMEI SANTA MÔNICA,KGAR,"RUA VISCONDE DE OURO PRETO, 340, NATAL-RN",-5.721203,-35.2466319
