X,Y,Name,description,altitudeMode
-35.2685832604766,-5.85228343494236,FIM 33,,clampToGround
-35.2685833442956,-5.85228335112333,FIM 33A,,clampToGround
-35.2589832991362,-5.86530002765357,FIM 33B,,clampToGround
-35.2685832604766,-5.85228343494236,FIM 38,,clampToGround
-35.2641499880701,-5.83553337492049,FIM 411,,clampToGround
-35.1901500206441,-5.79291667789221,FIM 57,,clampToGround
-35.2685832604766,-5.85228343494236,INICIO 33,,clampToGround
-35.2685833442956,-5.85228335112333,INICIO 33A,,clampToGround
-35.2589832991362,-5.86530002765357,INICIO 33B,,clampToGround
-35.2685832604766,-5.85228343494236,INICIO 38,,clampToGround
-35.2641487307847,-5.83553169853985,INICIO 41,,clampToGround
-35.1901500206441,-5.79291667789221,INICIO 57,,clampToGround
-35.2543833106756,-5.84493326023221,P03 I 41,,clampToGround
-35.2525832969695,-5.84398333914578,P04 I 41,,clampToGround
-35.2503999788314,-5.84233336150646,P05 I 41,,clampToGround
-35.2467000391334,-5.84096669219434,P06 I 41,,clampToGround
-35.2445166371763,-5.837083440274,P07 I 41,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 33,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 33A,,clampToGround
-35.2587333507836,-5.8632833417505,P1 I 33B,,clampToGround
-35.2661666739732,-5.85103344172239,P1 I 40,,clampToGround
-35.2597499918193,-5.84255003370345,P1 I 41,,clampToGround
-35.1920833066106,-5.79085003584623,P1 I 57,,clampToGround
-35.2574333176017,-5.86083331145346,P10 I 33A,,clampToGround
-35.2608334366232,-5.84831669926643,P10 I 33B,,clampToGround
-35.2556499838829,-5.86021673865616,P10 I 40,,clampToGround
-35.2375166583806,-5.82546662539244,P10 I 41,,clampToGround
-35.1869000215083,-5.79139997251332,P10 I 57,,clampToGround
-35.2341167069972,-5.85789998061955,P100 V 33A,,clampToGround
-35.2375832945108,-5.8253166731447,P100 V 40,,clampToGround
-35.2353999763727,-5.85714996792376,P101 V 33A,,clampToGround
-35.2381000388414,-5.82664998248219,P101 V 40,,clampToGround
-35.2373999822885,-5.85591673851013,P102 V 33A,,clampToGround
-35.240583261475,-5.83231673575938,P102 V 40,,clampToGround
-35.239766696468,-5.85450002923608,P103 V 33A,,clampToGround
-35.241616666317,-5.83346656523645,P103 V 40,,clampToGround
-35.2417332585901,-5.85329999215901,P104 V 33A,,clampToGround
-35.2427832596004,-5.8347833622247,P104 V 40,,clampToGround
-35.2436999883503,-5.83578332327306,P105 V 40,,clampToGround
-35.244666673243,-5.85318331606686,P106 V 33A,,clampToGround
-35.2444500010461,-5.83661673590541,P106 V 40,,clampToGround
-35.2454333659261,-5.85108331404626,P107 V 33A,,clampToGround
-35.2464500069618,-5.84071666002274,P107 V 40,,clampToGround
-35.2218166831881,-5.86958326399326,P108 V 33,,clampToGround
-35.2467666752636,-5.85638335905969,P108 V 33A,,clampToGround
-35.2463666908443,-5.84308337420225,P108 V 40,,clampToGround
-35.2227833680809,-5.86803336627781,P109 V 33,,clampToGround
-35.2486833650619,-5.85656667128205,P109 V 33A,,clampToGround
-35.2456166781485,-5.84444995969534,P109 V 40,,clampToGround
-35.2556499838829,-5.86021673865616,P11 I 33A,,clampToGround
-35.2589166630059,-5.84729997441173,P11 I 33B,,clampToGround
-35.2538499701768,-5.85930000990629,P11 I 40,,clampToGround
-35.2364000212401,-5.82356669940054,P11 I 41,,clampToGround
-35.1886166352779,-5.78928337432444,P11 I 57,,clampToGround
-35.2253333106637,-5.8664833009243,P110 V 33,,clampToGround
-35.2503667026758,-5.85736664012074,P110 V 33A,,clampToGround
-35.245533362031,-5.84573331288993,P110 V 40,,clampToGround
-35.2253333106637,-5.8664833009243,P111 V 33,,clampToGround
-35.2529999613762,-5.85878326557577,P111 V 33A,,clampToGround
-35.2476166840643,-5.84681667387486,P111 V 40,,clampToGround
-35.2278332971036,-5.86498335935175,P112 V 33,,clampToGround
-35.2554333116859,-5.85998330265284,P112 V 33A,,clampToGround
-35.2500334382057,-5.84804998710752,P112 V 40,,clampToGround
-35.2509333193302,-5.84698330610991,P113 V 33,,clampToGround
-35.2292999625206,-5.86363337002695,P113 V 331,,clampToGround
-35.2575000375509,-5.86056668311357,P113 V 33A,,clampToGround
-35.2509333193302,-5.84698330610991,P113 V 40,,clampToGround
-35.2514499798417,-5.84594998508692,P114 V 33,,clampToGround
-35.2316666767001,-5.85936656221747,P114 V 331,,clampToGround
-35.2580833341926,-5.85944996215403,P114 V 33A,,clampToGround
-35.2514499798417,-5.84594998508692,P114 V 40,,clampToGround
-35.2524166647345,-5.8440166991204,P115 V 33,,clampToGround
-35.2341167069972,-5.85789998061955,P115 V 331,,clampToGround
-35.2586334384978,-5.85815001279116,P115 V 33A,,clampToGround
-35.2524166647345,-5.8440166991204,P115 V 40,,clampToGround
-35.2541166823357,-5.84466663189232,P116 V 33,,clampToGround
-35.2353999763727,-5.85714996792376,P116 V 331,,clampToGround
-35.2594165597111,-5.85666666738689,P116 V 33A,,clampToGround
-35.2541166823357,-5.84466663189232,P116 V 40,,clampToGround
-35.2373999822885,-5.85591673851013,P117 V 33,,clampToGround
-35.2601499762386,-5.85526663810015,P117 V 33A,,clampToGround
-35.2558833360672,-5.84614997729659,P117 V 40,,clampToGround
-35.2552499994636,-5.84748337045312,P118 I 33,,clampToGround
-35.239766696468,-5.85450002923608,P118 V 331,,clampToGround
-35.2609833050519,-5.85395000874996,P118 V 33A,,clampToGround
-35.2552499994636,-5.84748337045312,P118 V 40,,clampToGround
-35.2529666852206,-5.85179996676743,P119 I 33,,clampToGround
-35.2417332585901,-5.85329999215901,P119 V 331,,clampToGround
-35.2619834337384,-5.85175001062453,P119 V 33A,,clampToGround
-35.2529666852206,-5.85179996676743,P119 V 40,,clampToGround
-35.2558833360672,-5.84614997729659,P12 I 33,,clampToGround
-35.2538499701768,-5.85930000990629,P12 I 33A,,clampToGround
-35.2558833360672,-5.84614997729659,P12 I 33B,,clampToGround
-35.2521666325629,-5.85848336108029,P12 I 40,,clampToGround
-35.2372333500534,-5.82165000960231,P12 I 41,,clampToGround
-35.1917999982834,-5.78324999660254,P12 I 57,,clampToGround
-35.2630666270852,-5.849599968642,P120 V 33A,,clampToGround
-35.2519166842103,-5.85393332876265,P120 V 40,,clampToGround
-35.2649000007659,-5.85020002909005,P121 V 33A,,clampToGround
-35.2503999788314,-5.85676666349173,P121 V 40,,clampToGround
-35.2663666661829,-5.85093336179852,P122 V 33A,,clampToGround
-35.2529999613762,-5.85878326557577,P122 V 40,,clampToGround
-35.2554333116859,-5.85998330265284,P123 V 40,,clampToGround
-35.2575000375509,-5.86056668311357,P124 V 40,,clampToGround
-35.2580833341926,-5.85944996215403,P125 V 40,,clampToGround
-35.2586334384978,-5.85815001279116,P126 V 40,,clampToGround
-35.2594165597111,-5.85666666738689,P127 V 40,,clampToGround
-35.2601499762386,-5.85526663810015,P128 V 40,,clampToGround
-35.2609833050519,-5.85395000874996,P129 V 40,,clampToGround
-35.2521666325629,-5.85848336108029,P13 I 33A,,clampToGround
-35.2552499994636,-5.84748337045312,P13 I 33B,,clampToGround
-35.2503166627139,-5.85666666738689,P13 I 40,,clampToGround
-35.2358166407794,-5.82038333639503,P13 I 41,,clampToGround
-35.1931666675955,-5.78108335845172,P13 I 57,,clampToGround
-35.2630666270852,-5.849599968642,P130 V 40,,clampToGround
-35.2649000007659,-5.85020002909005,P131 V 33,,clampToGround
-35.2649000007659,-5.85020002909005,P131 V 40,,clampToGround
-35.2663666661829,-5.85093336179852,P132 V 33,,clampToGround
-35.2663666661829,-5.85093336179852,P132 V 40,,clampToGround
-35.2501500304788,-5.85741668008268,P14 I 33A,,clampToGround
-35.2539333701134,-5.84998344071209,P14 I 33B,,clampToGround
-35.2517499681562,-5.85395000874996,P14 I 40,,clampToGround
-35.2334333304316,-5.82126670517027,P14 I 41,,clampToGround
-35.1937166880816,-5.77841673977673,P14 I 57,,clampToGround
-35.2486833650619,-5.85656667128205,P15 I 33A,,clampToGround
-35.2529666852206,-5.85179996676743,P15 I 33B,,clampToGround
-35.2528500091285,-5.85175001062453,P15 I 40,,clampToGround
-35.2309667039663,-5.82220003008842,P15 I 41,,clampToGround
-35.1954666618258,-5.77743337489665,P15 I 57,,clampToGround
-35.2463333308697,-5.85601673461497,P16 I 33A,,clampToGround
-35.2519166842103,-5.85393332876265,P16 I 33B,,clampToGround
-35.2539000101388,-5.84978336468339,P16 I 40,,clampToGround
-35.2281666453928,-5.82319999113679,P16 I 41,,clampToGround
-35.1971166394651,-5.77671663835645,P16 I 57,,clampToGround
-35.2441333327442,-5.855149962008,P17 I 33A,,clampToGround
-35.2503999788314,-5.85676666349173,P17 I 33B,,clampToGround
-35.254783295095,-5.84806666709483,P17 I 40,,clampToGround
-35.225133318454,-5.8242666721344,P17 I 41,,clampToGround
-35.2034666854888,-5.77189997769892,P17 I 57,,clampToGround
-35.2421500068158,-5.85765003226697,P18 I 33,,clampToGround
-35.2421500068158,-5.85765003226697,P18 I 33A,,clampToGround
-35.2486833650619,-5.85656667128205,P18 I 33B,,clampToGround
-35.2559166960418,-5.84584998898208,P18 I 40,,clampToGround
-35.2217833232135,-5.82553334534168,P18 I 41,,clampToGround
-35.203749993816,-5.77308333478868,P18 I 57,,clampToGround
-35.2122166380286,-5.83150000311434,P19 I 33,,clampToGround
-35.2399500086904,-5.85995002649724,P19 I 33A,,clampToGround
-35.2463333308697,-5.85601665079594,P19 I 33B,,clampToGround
-35.2543833106756,-5.84493326023221,P19 I 40,,clampToGround
-35.2188166324049,-5.8266167063266,P19 I 41,,clampToGround
-35.2041000220925,-5.77466667629778,P19 I 57,,clampToGround
-35.2647833246738,-5.85033330135047,P2 I 33,,clampToGround
-35.2647833246738,-5.85033330135047,P2 I 33A,,clampToGround
-35.2575000375509,-5.86056668311357,P2 I 33B,,clampToGround
-35.2647833246738,-5.85033330135047,P2 I 40,,clampToGround
-35.2580833341926,-5.84661668166518,P2 I 41,,clampToGround
-35.1937333680689,-5.78754999674857,P2 I 57,,clampToGround
-35.2379333227873,-5.86153336800635,P20 I 33,,clampToGround
-35.2123834379017,-5.83226669579744,P20 I 331,,clampToGround
-35.2379333227873,-5.86153336800635,P20 I 33A,,clampToGround
-35.2441333327442,-5.855149962008,P20 I 33B,,clampToGround
-35.2525832969695,-5.84398333914578,P20 I 40,,clampToGround
-35.2161333337426,-5.82648343406618,P20 I 41,,clampToGround
-35.2047999948263,-5.77833333984017,P20 I 57,,clampToGround
-35.2124333102256,-5.83443333394825,P21 I 33,,clampToGround
-35.2353166602552,-5.85943336598575,P21 I 33A,,clampToGround
-35.2421500068158,-5.85765003226697,P21 I 33B,,clampToGround
-35.2516499720514,-5.84573331288993,P21 I 40,,clampToGround
-35.2056500036269,-5.7794167008251,P21 I 57,,clampToGround
-35.2399500086904,-5.85995002649724,P22 I 33,,clampToGround
-35.2105333004147,-5.84141663275659,P22 I 331,,clampToGround
-35.2345333714038,-5.85809997282922,P22 I 33A,,clampToGround
-35.2399500086904,-5.85995002649724,P22 I 33B,,clampToGround
-35.2509166393429,-5.84705002605915,P22 I 40,,clampToGround
-35.2089499589056,-5.784200001508,P22 I 57,,clampToGround
-35.209733331576,-5.85063337348402,P23 I 33,,clampToGround
-35.2293333224952,-5.85628336295485,P23 I 33A,,clampToGround
-35.2379333227873,-5.86153336800635,P23 I 33B,,clampToGround
-35.2506999671459,-5.84751656278968,P23 I 40,,clampToGround
-35.2097500115633,-5.78588333912194,P23 I 57,,clampToGround
-35.2107833325863,-5.85288332775235,P24 I 33,,clampToGround
-35.226166639477,-5.8506499696523,P24 I 33A,,clampToGround
-35.2353166602552,-5.85943336598575,P24 I 33B,,clampToGround
-35.2497000060976,-5.84800003096461,P24 I 40,,clampToGround
-35.2102000359446,-5.78859999775887,P24 I 57,,clampToGround
-35.2122666779906,-5.85606669075787,P25 I 33,,clampToGround
-35.226166639477,-5.8506499696523,P25 I 33A,,clampToGround
-35.2345333714038,-5.85809997282922,P25 I 33B,,clampToGround
-35.2474833279848,-5.84689998999238,P25 I 40,,clampToGround
-35.2093332633376,-5.79096662811935,P25 I 57,,clampToGround
-35.2156833093613,-5.8633332978934,P26 I 33,,clampToGround
-35.2246999740601,-5.84731673821807,P26 I 33A,,clampToGround
-35.2293333224952,-5.85628336295485,P26 I 33B,,clampToGround
-35.2454499620944,-5.84581662900746,P26 I 40,,clampToGround
-35.2144834399223,-5.79321666620672,P26 I 57,,clampToGround
-35.2173000108451,-5.86675001308322,P27 I 33,,clampToGround
-35.2202667016536,-5.8393333107233,P27 I 33A,,clampToGround
-35.226166639477,-5.8506499696523,P27 I 33B,,clampToGround
-35.2455166820437,-5.84436655975878,P27 I 40,,clampToGround
-35.2155666332692,-5.79436666332185,P27 I 57,,clampToGround
-35.2350500319153,-5.86269996128976,P28 I 331,,clampToGround
-35.2192332968116,-5.83651673980057,P28 I 33A,,clampToGround
-35.226166639477,-5.8506499696523,P28 I 33B,,clampToGround
-35.2463333308697,-5.84276670590043,P28 I 40,,clampToGround
-35.2139666955918,-5.79723344184458,P28 I 57,,clampToGround
-35.2190666645765,-5.87053343653679,P28 V 33,,clampToGround
-35.2336500026286,-5.86409999057651,P29 I 33,,clampToGround
-35.2186166401953,-5.83503331057727,P29 I 33A,,clampToGround
-35.2246999740601,-5.84731665439904,P29 I 33B,,clampToGround
-35.2467000391334,-5.84096669219434,P29 I 40,,clampToGround
-35.21240003407,-5.80036668106914,P29 I 57,,clampToGround
-35.2608334366232,-5.84831669926643,P3 I 33,,clampToGround
-35.2629500348121,-5.85008343681693,P3 I 33A,,clampToGround
-35.2580833341926,-5.85944996215403,P3 I 33B,,clampToGround
-35.2620000299066,-5.85193332284689,P3 I 40,,clampToGround
-35.244283368811,-5.83678336814046,P3 I 41,,clampToGround
-35.1915333699435,-5.7876000367105,P3 I 57,,clampToGround
-35.2324665617198,-5.86521662771702,P30 I 33,,clampToGround
-35.2176999952644,-5.83261664025486,P30 I 33A,,clampToGround
-35.2202667016536,-5.8393333107233,P30 I 33B,,clampToGround
-35.244283368811,-5.83678336814046,P30 I 40,,clampToGround
-35.210116636008,-5.80326673574746,P30 I 57,,clampToGround
-35.2309999801219,-5.86679996922612,P31 I 33,,clampToGround
-35.2161333337426,-5.82648343406618,P31 I 33A,,clampToGround
-35.2192332968116,-5.83651673980057,P31 I 33B,,clampToGround
-35.2435166761279,-5.83595003932714,P31 I 40,,clampToGround
-35.2161333337426,-5.82648335024714,P31 I 41,,clampToGround
-35.2088333666325,-5.80473331734538,P31 I 57,,clampToGround
-35.2136332634836,-5.82198344171047,P32 I 33,,clampToGround
-35.2294499985874,-5.86839999072254,P32 I 331,,clampToGround
-35.2122166380286,-5.83150000311434,P32 I 33A,,clampToGround
-35.2186166401953,-5.83503331057727,P32 I 33B,,clampToGround
-35.2426166273654,-5.83493331447244,P32 I 40,,clampToGround
-35.2136333473027,-5.82198335789144,P32 I 41,,clampToGround
-35.2124499902129,-5.81868331879377,P33 I 33,,clampToGround
-35.2280499693006,-5.86980002000928,P33 I 331,,clampToGround
-35.2124333102256,-5.83443333394825,P33 I 33A,,clampToGround
-35.2176999952644,-5.83261664025486,P33 I 33B,,clampToGround
-35.2414833102375,-5.83364996127784,P33 I 40,,clampToGround
-35.2124499902129,-5.81868331879377,P33 I 41,,clampToGround
-35.2018333040178,-5.80806663259864,P33 I 57,,clampToGround
-35.2112833131105,-5.81548335961998,P34 I 33,,clampToGround
-35.2266999799758,-5.87118336930871,P34 I 331,,clampToGround
-35.2117666974664,-5.83543329499662,P34 I 33A,,clampToGround
-35.2161333337426,-5.82648343406618,P34 I 33B,,clampToGround
-35.2403834369034,-5.83239996805787,P34 I 40,,clampToGround
-35.2112833131105,-5.81548335961998,P34 I 41,,clampToGround
-35.1995666697621,-5.80895000137389,P34 I 57,,clampToGround
-35.2099666837603,-5.8116000238806,P35 I 33,,clampToGround
-35.2246666979045,-5.87234996259212,P35 I 331,,clampToGround
-35.2114666253328,-5.83080003038049,P35 I 33A,,clampToGround
-35.2136333473027,-5.82198335789144,P35 I 33B,,clampToGround
-35.2389665599912,-5.82933336496353,P35 I 40,,clampToGround
-35.2099666837603,-5.8116000238806,P35 I 41,,clampToGround
-35.1974000316113,-5.80981669016182,P35 I 57,,clampToGround
-35.2084167022258,-5.80728325992823,P36 I 33,,clampToGround
-35.2091500349343,-5.82413331605494,P36 I 33A,,clampToGround
-35.2124499902129,-5.81868331879377,P36 I 33B,,clampToGround
-35.2383832633495,-5.82778329961002,P36 I 40,,clampToGround
-35.2084167022258,-5.80728334374726,P36 I 41,,clampToGround
-35.1950333174318,-5.81226663663983,P36 I 57,,clampToGround
-35.2069334406406,-5.80324997194111,P37 I 33,,clampToGround
-35.2077165618539,-5.82048333249986,P37 I 33A,,clampToGround
-35.2112833131105,-5.81548335961998,P37 I 33B,,clampToGround
-35.2375166583806,-5.82546662539244,P37 I 40,,clampToGround
-35.2069333568215,-5.80324997194111,P37 I 41,,clampToGround
-35.1972499955446,-5.81363330595195,P37 I 57,,clampToGround
-35.2062167041004,-5.80126656219363,P38 I 33,,clampToGround
-35.2060832642019,-5.81573330797255,P38 I 33A,,clampToGround
-35.2099666837603,-5.8116000238806,P38 I 33B,,clampToGround
-35.2364000212401,-5.82356669940054,P38 I 40,,clampToGround
-35.2062167041004,-5.80126664601266,P38 I 41,,clampToGround
-35.1998667418957,-5.8158499840647,P38 I 57,,clampToGround
-35.205383291468,-5.7990665640682,P39 I 33,,clampToGround
-35.2042499743402,-5.81071673892438,P39 I 33A,,clampToGround
-35.2073999773711,-5.80911663360894,P39 I 33B,,clampToGround
-35.2372332662344,-5.82165000960231,P39 I 40,,clampToGround
-35.205383291468,-5.79906664788723,P39 I 41,,clampToGround
-35.2005166746676,-5.81773331388831,P39 I 57,,clampToGround
-35.2048666309565,-5.81013335846364,P39 V 33B,,clampToGround
-35.2589166630059,-5.84729997441173,P4 I 331,,clampToGround
-35.2519166842103,-5.85393332876265,P4 I 332,,clampToGround
-35.2620000299066,-5.85193332284689,P4 I 33A,,clampToGround
-35.2586333546788,-5.85815001279116,P4 I 33B,,clampToGround
-35.2610500250012,-5.85358330048621,P4 I 40,,clampToGround
-35.2435166761279,-5.83595003932714,P4 I 41,,clampToGround
-35.1900667045265,-5.78896670602262,P4 I 57,,clampToGround
-35.2035666815937,-5.7942000310868,P40 I 33,,clampToGround
-35.203150017187,-5.80778332427144,P40 I 33A,,clampToGround
-35.2358166407794,-5.82038333639503,P40 I 40,,clampToGround
-35.2035666815937,-5.7942000310868,P40 I 41,,clampToGround
-35.2024994138628,-5.82311013713479,P40 I 57,,clampToGround
-35.2049500308931,-5.81203336827457,P40 V 33B,,clampToGround
-35.2026666328311,-5.79181663691998,P41 I 33,,clampToGround
-35.2018167078495,-5.80401666462421,P41 I 33A,,clampToGround
-35.2334333304316,-5.82126670517027,P41 I 40,,clampToGround
-35.2026666328311,-5.79181663691998,P41 I 41,,clampToGround
-35.1997985970229,-5.82412996329367,P41 I 57,,clampToGround
-35.2070833090693,-5.81790002994239,P41 V 33B,,clampToGround
-35.2020499762148,-5.79014997929335,P42 I 33,,clampToGround
-35.2005666308105,-5.80066666938365,P42 I 33A,,clampToGround
-35.225783335045,-5.82093344070017,P42 I 40,,clampToGround
-35.2020499762148,-5.79014997929335,P42 I 41,,clampToGround
-35.2001833263785,-5.82511668093503,P42 I 57,,clampToGround
-35.2080000378191,-5.8205833286047,P42 V 33B,,clampToGround
-35.1993499975652,-5.79738331027329,P43 I 33A,,clampToGround
-35.2243999857455,-5.81709997728467,P43 I 40,,clampToGround
-35.200266642496,-5.78534999862313,P43 I 41,,clampToGround
